"","Rat_EntrezGene.ID","Mouse_EntrezGene.ID","MouseVsRat_EntrezGene.ID"
"1","498097","68980","68980_498097"
"2","114521","21665","21665_114521"
"3","360576","237858","237858_360576"
"4","24628","18591","18591_24628"
"5","688737","229323","229323_688737"
"6","688536","435528","435528_688536"
"7","171179","64697","64697_171179"
"8","293779","107146","107146_293779"
"9","309227","240549","240549_309227"
"10","64520","116870","116870_64520"
"11","312258","57869","57869_312258"
"12","313950","58240","58240_313950"
"13","690422","104732","104732_690422"
"14","303515","268480","268480_303515"
"15","691907","271844","271844_691907"
"16","296091","329502","329502_296091"
"17","311341","211429","211429_311341"
"18","691905","78390","78390_691905"
"19","25453","14573","14573_25453"
"20","685579","20133","20133_685579"
"21","24981","381091","381091_24981"
"22","365542","15002","15002_365542"
"23","294270","14969","14969_294270"
"24","366082","15432","15432_366082"
"25","293992","18504","18504_293992"
"26","156726","12399","12399_156726"
"27","25154","18667","18667_25154"
"28","78962","18628","18628_78962"
"29","315341","15424","15424_315341"
"30","309444","30838","30838_309444"
"31","25243","11864","11864_25243"
"32","24457","15416","15416_24457"
"33","288155","14029","14029_288155"
"34","81747","107650","107650_81747"
"35","312711","319352","319352_312711"
"36","300772","56469","56469_300772"
"37","83422","17344","17344_83422"
"38","83614","229615","229615_83614"
"39","362827","59004","59004_362827"
"40","306104","52023","52023_306104"
"41","89816","233489","233489_89816"
"42","84591","18693","18693_84591"
"43","501174","98496","98496_501174"
"44","293625","57913","57913_293625"
"45","296608","69327","69327_296608"
"46","691849","546143","546143_691849"
"47","361430","234839","234839_361430"
"48","303399","21387","21387_303399"
"49","282817","66824","66824_282817"
"50","57233","104360","104360_57233"
"51","297099","15405","15405_297099"
"52","29300","14465","14465_29300"
"53","24818","21454","21454_24818"
"54","500156","11921","11921_500156"
"55","24506","16334","16334_24506"
"56","24505","16333","16333_24505"
"57","497985","15415","15415_497985"
"58","24539","16956","16956_24539"
"59","252885","15425","15425_252885"
"60","84600","19373","19373_84600"
"61","500137","11922","11922_500137"
"62","25621","12520","12520_25621"
"63","81739","228139","228139_81739"
"64","404280","68041","68041_404280"
"65","29499","20423","20423_29499"
"66","404978","259001","259001_404978"
"67","408030","258832","258832_408030"
"68","289241","258881","258881_289241"
"69","295900","258804","258804_295900"
"70","364306","57271","57271_364306"
"71","290055","57270","57270_290055"
"72","290056","57269","57269_290056"
"73","364979","258267","258267_364979"
"74","116554","26419","26419_116554"
"75","315337","15422","15422_315337"
"76","24703","110157","110157_24703"
"77","64618","22771","22771_64618"
"78","405257","258353","258353_405257"
"79","100360552","14369","14369_100360552"
"80","311311","17536","17536_311311"
"81","116676","19378","19378_116676"
"82","59109","18211","18211_59109"
"83","24812","21355","21355_24812"
"84","114106","63857","63857_114106"
"85","294503","18119","18119_294503"
"86","24370","15228","15228_24370"
"87","680717","353310","353310_680717"
"88","29492","18129","18129_29492"
"89","85271","22786","22786_85271"
"90","65130","12739","12739_65130"
"91","287099","56863","56863_287099"
"92","287098","54419","54419_287098"
"93","25147","13075","13075_25147"
"94","25661","14268","14268_25661"
"95","309389","18089","18089_309389"
"96","294562","18999","18999_294562"
"97","680620","75507","75507_680620"
"98","79557","11435","11435_79557"
"99","309430","226049","226049_309430"
"100","24666","19042","19042_24666"
"101","84046","20666","20666_84046"
"102","366213","228731","228731_366213"
"103","293056","12877","12877_293056"
"104","405966","258772","258772_405966"
"105","405963","258934","258934_405963"
"106","288816","258932","258932_288816"
"107","366793","258863","258863_366793"
"108","406018","258830","258830_406018"
"109","404904","258773","258773_404904"
"110","288835","258791","258791_288835"
"111","287508","258705","258705_287508"
"112","288876","258930","258930_288876"
"113","289250","258713","258713_289250"
"114","405116","258946","258946_405116"
"115","296677","258942","258942_296677"
"116","405352","258914","258914_405352"
"117","405322","18350","18350_405322"
"118","296675","18328","18328_296675"
"119","288790","257667","257667_288790"
"120","296690","236509","236509_296690"
"121","288818","258375","258375_288818"
"122","302825","258289","258289_302825"
"123","288854","258282","258282_288854"
"124","288886","258281","258281_288886"
"125","288861","258148","258148_288861"
"126","288832","258667","258667_288832"
"127","405114","258618","258618_405114"
