"","Rat_EntrezGene.ID","Mouse_EntrezGene.ID","MouseVsRat_EntrezGene.ID"
"1","114087","23825","23825_114087"
"2","191569","18585","18585_191569"
"3","246307","66514","66514_246307"
"4","65041","20480","20480_65041"
"5","25437","13726","13726_25437"
"6","25380","16952","16952_25380"
"7","362528","338355","338355_362528"
"8","192259","665270","665270_192259"
"9","100362547","11766","11766_100362547"
"10","690227","383258","383258_690227"
"11","685641","627743","627743_685641"
"12","301154","625029","625029_301154"
"13","688517","17850","17850_688517"
"14","294429","19386","19386_294429"
"15","688841","620592","620592_688841"
"16","690254","69870","69870_690254"
"17","29141","14419","14419_29141"
"18","100359816","208043","208043_100359816"
"19","680427","21375","21375_680427"
"20","303398","21385","21385_303398"
"21","316317","27993","27993_316317"
"22","287612","380718","380718_287612"
"23","81635","56417","56417_81635"
"24","688163","217138","217138_688163"
"25","309532","67979","67979_309532"
"26","84027","56637","56637_84027"
"27","307798","497652","497652_307798"
"28","361843","71361","71361_361843"
"29","360475","208211","208211_360475"
"30","294400","52014","52014_294400"
"31","89826","19892","19892_89826"
"32","304407","12740","12740_304407"
"33","65130","12739","12739_65130"
"34","287098","54419","54419_287098"
"35","287099","56863","56863_287099"
"36","24923","56216","56216_24923"
"37","25682","19015","19015_25682"
"38","25662","16008","16008_25662"
"39","114125","13389","13389_114125"
"40","292934","13172","13172_292934"
"41","541457","223843","223843_541457"
"42","361131","80720","80720_361131"
"43","364529","73316","73316_364529"
"44","29421","22275","22275_29421"
"45","289311","27217","27217_289311"
"46","294279","12815","12815_294279"
"47","85272","12162","12162_85272"
"48","64618","22771","22771_64618"
"49","58946","19876","19876_58946"
"50","315564","19649","19649_315564"
"51","288617","22021","22021_288617"
"52","29619","12227","12227_29619"
"53","363854","15568","15568_363854"
"54","25703","19662","19662_25703"
"55","24248","12359","12359_24248"
"56","29200","16323","16323_29200"
"57","311311","17536","17536_311311"
"58","117268","20218","20218_117268"
"59","29466","14797","14797_29466"
"60","24873","22337","22337_24873"
"61","191575","18102","18102_191575"
"62","83782","18103","18103_83782"
"63","85269","79059","79059_85269"
"64","171566","171567","171567_171566"
"65","85489","22160","22160_85489"
"66","25737","18538","18538_25737"
"67","312320","140488","140488_312320"
"68","24838","21957","21957_24838"
"69","24583","17883","17883_24583"
"70","252942","17885","17885_252942"
"71","360543","17884","17884_360543"
"72","56781","17901","17901_56781"
"73","364754","14370","14370_364754"
"74","368178","15427","15427_368178"
"75","81822","11461","11461_81822"
"76","362540","66775","66775_362540"
"77","300262","15421","15421_300262"
"78","497985","15415","15415_497985"
"79","29492","18129","18129_29492"
"80","56761","18131","18131_56761"
"81","171009","11474","11474_171009"
"82","408030","258832","258832_408030"
"83","404978","259001","259001_404978"
"84","295900","258804","258804_295900"
"85","289241","258881","258881_289241"
"86","364306","57271","57271_364306"
"87","290056","57269","57269_290056"
"88","290055","57270","57270_290055"
"89","364979","258267","258267_364979"
"90","299588","258305","258305_299588"
"91","362247","56407","56407_362247"
"92","171103","12531","12531_171103"
"93","171102","12530","12530_171102"
